rank	lemma	pos	count	pct	cum_pct
503	старик	NOUN	2509	0.0193	66.9748
504	э	INTJ	2496	0.0192	66.9940
505	класс	NOUN	2493	0.0191	67.0131
506	принять	VERB	2489	0.0191	67.0322
507	кровь	NOUN	2481	0.0190	67.0513
508	дед	NOUN	2481	0.0190	67.0703
509	пётр	NOUN	2480	0.0190	67.0893
510	ждать	INFN	2476	0.0190	67.1083
511	саша	NOUN	2473	0.0190	67.1273
512	баба	NOUN	2472	0.0190	67.1463
513	павлович	NOUN	2472	0.0190	67.1653
514	пропасть	VERB	2468	0.0189	67.1842
515	андрей	NOUN	2468	0.0189	67.2032
516	корабль	NOUN	2466	0.0189	67.2221
517	согласный	ADJS	2462	0.0189	67.2410
518	приказ	NOUN	2457	0.0189	67.2599
519	вести	VERB	2440	0.0187	67.2786
520	прекрасный	ADJF	2437	0.0187	67.2973
521	враг	NOUN	2435	0.0187	67.3160
522	поставить	VERB	2434	0.0187	67.3347
523	вера	NOUN	2426	0.0186	67.3533
524	ночью	ADVB	2422	0.0186	67.3719
525	врать	VERB	2421	0.0186	67.3905
526	михаилович	NOUN	2420	0.0186	67.4091
527	открыть	VERB	2419	0.0186	67.4276
528	комната	NOUN	2414	0.0185	67.4462
529	царь	NOUN	2409	0.0185	67.4647
530	князь	NOUN	2405	0.0185	67.4831
531	лежать	VERB	2401	0.0184	67.5016
532	встреча	NOUN	2397	0.0184	67.5200
533	россия	NOUN	2395	0.0184	67.5384
534	майор	NOUN	2395	0.0184	67.5567
535	честной	ADJF	2386	0.0183	67.5751
536	получиться	VERB	2371	0.0182	67.5933
537	поговорить	VERB	2371	0.0182	67.6115
538	скорый	COMP	2369	0.0182	67.6297
539	сон	NOUN	2369	0.0182	67.6478
540	никак	ADVB	2368	0.0182	67.6660
541	ради	PREP	2365	0.0182	67.6842
542	заходить	VERB	2362	0.0181	67.7023
543	чёрный	ADJF	2355	0.0181	67.7204
544	поэтому	ADVB	2351	0.0180	67.7384
545	чужой	ADJF	2350	0.0180	67.7565
546	нечего	NPRO	2345	0.0180	67.7745
547	плакать	VERB	2340	0.0180	67.7924
548	сначала	ADVB	2336	0.0179	67.8104
549	профессор	NOUN	2334	0.0179	67.8283
550	власть	NOUN	2330	0.0179	67.8462
